id,show_id,song_id,set,position,segue,created_at,updated_at,likes_count,slug,note,all_timer,previous_track_id,next_track_id,average_rating
70848664-b33f-46cc-a7b3-f3b5688ee3f3,5f40bdf9-32ec-4061-9b29-b5341e32eefe,e5a0b3a1-5e2b-409c-9b5c-0beafff15c62,S1,2,,2020-02-22 16:25:25.948842,2020-02-22 16:25:25.948842,0,1995-12-01-slipknot,,false,a1528807-d341-4cad-af3d-e9385fab7f5b,6915b2c5-9ff5-4b5d-b731-32aeee1f4fe5,0
f755b828-f90e-4737-838b-56f32f4d5776,5f40bdf9-32ec-4061-9b29-b5341e32eefe,f98418ae-748e-4459-8a5c-2b5fefa4c81d,S1,4,,2020-02-22 16:25:26.132961,2020-02-22 16:25:26.132961,0,1995-12-01-nughuffer,,false,6915b2c5-9ff5-4b5d-b731-32aeee1f4fe5,9875a257-ba2b-4f98-88bf-7696d6b7bee9,0
9875a257-ba2b-4f98-88bf-7696d6b7bee9,5f40bdf9-32ec-4061-9b29-b5341e32eefe,2d5b75b8-339a-4af1-b136-dc6857d0bc54,S1,5,,2020-02-22 16:25:26.215326,2020-02-22 16:25:26.215326,0,1995-12-01-barfly,,false,f755b828-f90e-4737-838b-56f32f4d5776,f43b0ffa-22f1-4413-89ed-f3b07868b3e0,0
f43b0ffa-22f1-4413-89ed-f3b07868b3e0,5f40bdf9-32ec-4061-9b29-b5341e32eefe,5147e937-0370-4802-a690-2a54e3a1d77e,S1,6,,2020-02-22 16:25:26.317173,2020-02-22 16:25:26.317173,0,1995-12-01-maze,,false,9875a257-ba2b-4f98-88bf-7696d6b7bee9,a96b2e47-b6e1-4f61-b069-2328ecfef3b5,0
278fbf8d-af97-43df-916a-4e259e2774b8,5f40bdf9-32ec-4061-9b29-b5341e32eefe,31d0c9ec-224a-426d-92af-daf8fe81e88f,S1,8,,2020-02-22 16:25:26.445302,2020-02-22 16:25:26.445302,0,1995-12-01-soul-sacrifice,,false,a96b2e47-b6e1-4f61-b069-2328ecfef3b5,d54a92c0-7120-4025-9a29-b10531abc7dc,0
d54a92c0-7120-4025-9a29-b10531abc7dc,5f40bdf9-32ec-4061-9b29-b5341e32eefe,aff62144-b337-4343-999f-eae3294074af,S1,9,,2020-02-22 16:25:26.495428,2020-02-22 16:25:26.495428,0,1995-12-01-mr-don,,false,278fbf8d-af97-43df-916a-4e259e2774b8,,0
0bed3d69-b1b0-4d8e-86ed-5457527cf585,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,1ff98c94-90d4-4f42-b710-31b7dc68fa2c,S1,1,,2020-02-22 16:25:26.597056,2020-02-22 16:25:26.597056,0,1995-12-02-pat-and-dex,,false,,32f6f480-91b7-475d-b1cb-ee77bddb0371,0
32f6f480-91b7-475d-b1cb-ee77bddb0371,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,f50521ee-0054-4f99-b257-0b0f809c3788,S1,2,>,2020-02-22 16:25:26.662896,2020-02-22 16:25:26.662896,0,1995-12-02-in-the-flesh,,false,0bed3d69-b1b0-4d8e-86ed-5457527cf585,be0ddd95-291d-43aa-81ff-ea54d5c9e318,0
be0ddd95-291d-43aa-81ff-ea54d5c9e318,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,36706496-2190-47fe-a002-ec0af441d70e,S1,3,,2020-02-22 16:25:26.702062,2020-02-22 16:25:26.702062,0,1995-12-02-run-like-hell,,false,32f6f480-91b7-475d-b1cb-ee77bddb0371,e9ad7930-0c98-4470-8911-52165b262e37,0
8eae4476-6318-4afc-a686-1fce08233fe5,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,a22ee6a1-914e-4c3a-ab8d-234a5d934398,S1,5,>,2020-02-22 16:25:26.797066,2020-02-22 16:25:26.797066,0,1995-12-02-you-enjoy-myself,,false,e9ad7930-0c98-4470-8911-52165b262e37,6d2bead5-fa59-4c0f-8099-c0d6cb81a903,0
6d2bead5-fa59-4c0f-8099-c0d6cb81a903,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,3f5505cc-906e-47b4-9e19-6a43c7e82540,S1,6,>,2020-02-22 16:25:26.917500,2020-02-22 16:25:26.917500,0,1995-12-02-aceetobee,,false,8eae4476-6318-4afc-a686-1fce08233fe5,5a41d3fa-40dd-40b5-ae42-1347e6b27ec4,0
5a41d3fa-40dd-40b5-ae42-1347e6b27ec4,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,f98418ae-748e-4459-8a5c-2b5fefa4c81d,S1,7,,2020-02-22 16:25:26.971944,2020-02-22 16:25:26.971944,0,1995-12-02-nughuffer,,false,6d2bead5-fa59-4c0f-8099-c0d6cb81a903,44d7c8fa-6b3d-4a6a-88f5-ebc963b23384,0
424e50a2-3a39-48bc-bbff-014e083e5a2c,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,3ab1c5f4-0e94-4df4-ad3c-b609a1034db4,S1,9,>,2020-02-22 16:25:27.079508,2020-02-22 16:25:27.079508,0,1995-12-02-sun-king,,false,44d7c8fa-6b3d-4a6a-88f5-ebc963b23384,a4cd26ef-d716-4d88-874c-d856213323af,0
a4cd26ef-d716-4d88-874c-d856213323af,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,b775d7d2-42c0-4e0c-864d-d9155de5c82b,S1,10,>,2020-02-22 16:25:27.179374,2020-02-22 16:25:27.179374,0,1995-12-02-mean-mr-mustard,,false,424e50a2-3a39-48bc-bbff-014e083e5a2c,24e58d17-9611-4028-82c7-5f6fd323d7f7,0
24e58d17-9611-4028-82c7-5f6fd323d7f7,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,caf5a78e-0bb4-4b33-849d-e02974350efb,S1,11,>,2020-02-22 16:25:27.231385,2020-02-22 16:25:27.231385,0,1995-12-02-polythene-pam,,false,a4cd26ef-d716-4d88-874c-d856213323af,249e47b6-62ee-4976-8e63-41b22e1e98ee,0
249e47b6-62ee-4976-8e63-41b22e1e98ee,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,0a9c7f12-d16d-48a3-b7a7-6684b8b7dee0,S1,12,>,2020-02-22 16:25:27.260206,2020-02-22 16:25:27.260206,0,1995-12-02-she-came-in-through-the-bathroom-window,,false,24e58d17-9611-4028-82c7-5f6fd323d7f7,dca2e08c-a881-4a53-98a4-d710d1309434,0
a6892ec9-f1b4-4e70-9cb5-f9055d63f3ec,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,62c66ca4-811c-4c3c-aaea-e8296573d4f0,S1,14,>,2020-02-22 16:25:27.345310,2020-02-22 16:25:27.345310,0,1995-12-02-carry-that-weight,,false,dca2e08c-a881-4a53-98a4-d710d1309434,2358c882-2255-48cc-b7f3-fe29697b9c5e,0
2358c882-2255-48cc-b7f3-fe29697b9c5e,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,870784c1-c06a-4bd5-9531-009b19196ffb,S1,15,,2020-02-22 16:25:27.377089,2020-02-22 16:25:27.377089,0,1995-12-02-the-end,,false,a6892ec9-f1b4-4e70-9cb5-f9055d63f3ec,e17b8b5b-f6dd-4a3c-8427-65d58c4cf71a,0
e17b8b5b-f6dd-4a3c-8427-65d58c4cf71a,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,a2271b6e-292b-43a4-a16f-6c880c77ad09,S1,16,,2020-02-22 16:25:27.421392,2020-02-22 16:25:27.421392,0,1995-12-02-her-majesty,,false,2358c882-2255-48cc-b7f3-fe29697b9c5e,,0
f1dfb7e5-593b-4067-9ad7-fb41ef81b86a,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,2315fd1a-8875-402c-884b-8dd1a0e0a0c0,S2,1,,2020-02-22 16:25:27.513445,2020-02-22 16:25:27.513445,0,1995-12-02-possum,,false,,e1f8a178-26e9-4d40-aeea-0c1cc4a6a902,0
e1f8a178-26e9-4d40-aeea-0c1cc4a6a902,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,9e5a9f2b-9776-40c5-ad9c-130c2683304f,S2,2,,2020-02-22 16:25:27.580663,2020-02-22 16:25:27.580663,0,1995-12-02-eduardo-the-penguin,,false,f1dfb7e5-593b-4067-9ad7-fb41ef81b86a,a929e0b3-47da-45b1-b7c7-e0e2dad10fe7,0
cc489ccb-acee-4ff2-85f2-0721a00cd038,cf7095a5-cb4f-4a97-bf9c-de6cb13e2d00,57a25a24-4768-46c7-a0e4-5d2c5b35cb7b,S2,4,>,2020-02-22 16:25:27.706039,2020-02-22 16:25:27.706039,0,1995-12-02-morning-dew,,false,a929e0b3-47da-45b1-b7c7-e0e2dad10fe7,8f74b617-57ba-4908-9882-fd2e0e7f5edf,0
